reading frame: 30.463492 ms	encoding took: 5.347017 ms	streaming took: 0.096484 ms
reading frame: 26.176841 ms	encoding took: 5.582784 ms	streaming took: 0.103754 ms
reading frame: 30.512815 ms	encoding took: 5.349136 ms	streaming took: 0.098503 ms
reading frame: 26.517751 ms	encoding took: 5.326309 ms	streaming took: 0.097112 ms
reading frame: 30.463280 ms	encoding took: 5.561628 ms	streaming took: 0.086729 ms
reading frame: 26.360569 ms	encoding took: 5.279568 ms	streaming took: 0.086748 ms
reading frame: 30.373459 ms	encoding took: 5.488449 ms	streaming took: 0.096087 ms
reading frame: 26.699439 ms	encoding took: 5.452355 ms	streaming took: 0.089104 ms
reading frame: 30.009258 ms	encoding took: 5.646124 ms	streaming took: 0.100181 ms
reading frame: 26.293304 ms	encoding took: 5.767076 ms	streaming took: 0.121346 ms
reading frame: 30.181129 ms	encoding took: 5.339708 ms	streaming took: 0.100978 ms
reading frame: 26.447247 ms	encoding took: 5.617374 ms	streaming took: 0.106517 ms
reading frame: 30.260263 ms	encoding took: 5.522429 ms	streaming took: 0.089158 ms
reading frame: 26.388230 ms	encoding took: 5.240830 ms	streaming took: 0.090026 ms
reading frame: 30.477298 ms	encoding took: 5.650212 ms	streaming took: 0.097778 ms
reading frame: 26.277623 ms	encoding took: 5.574299 ms	streaming took: 0.105840 ms
reading frame: 30.206746 ms	encoding took: 6.535251 ms	streaming took: 0.093480 ms
reading frame: 25.351045 ms	encoding took: 6.757214 ms	streaming took: 0.080005 ms
reading frame: 25.266280 ms	encoding took: 5.470821 ms	streaming took: 0.088780 ms
reading frame: 30.280498 ms	encoding took: 5.416946 ms	streaming took: 0.091251 ms
reading frame: 26.591968 ms	encoding took: 5.406914 ms	streaming took: 0.088527 ms
reading frame: 30.367542 ms	encoding took: 5.374498 ms	streaming took: 0.094385 ms
reading frame: 26.562888 ms	encoding took: 5.634303 ms	streaming took: 0.077854 ms
reading frame: 29.942497 ms	encoding took: 5.544103 ms	streaming took: 0.080537 ms
reading frame: 26.352507 ms	encoding took: 5.538276 ms	streaming took: 0.089908 ms
reading frame: 30.437777 ms	encoding took: 6.893107 ms	streaming took: 0.174994 ms
reading frame: 25.618584 ms	encoding took: 8.151103 ms	streaming took: 0.150319 ms
reading frame: 28.220599 ms	encoding took: 9.810420 ms	streaming took: 4.590031 ms
reading frame: 18.410977 ms	encoding took: 8.305527 ms	streaming took: 25.133399 ms
